,csv_post_title,csv_post_post,csv_post_excerpt,wpcf-Name,wpcf-Address,wpcf-Activity-Type,wpcf-Activity-Image,wpcf-Disability-Accessible,wpcf-On-Premise-Disability-Parking,wpcf-Ambulant-Toilet,wpcf-Opening-Hours,csv_post_categories,csv_post_type
0,Camp Area,Camp Area,,Camp Area,"Bingil Bay Road, Bingil Bay",Camping Ground,“”,No,No,No,OPEN: 24 hours,Activity-Types,Camping Ground
1,Yarramalong Weir,Yarramalong Weir,,Yarramalong Weir,"Yarramalong Road, Pampas",Camping Ground,“”,No,No,No,OPEN: 24 hours,Activity-Types,Camping Ground
2,Darlington Park,Darlington Park,,Darlington Park,"Kerry Road, Darlington",Camping Ground,“”,Yes,Yes,No,OPEN: Daylight hours,Activity-Types,Camping Ground
3,Stinson Park,Stinson Park,,Stinson Park,"Christmas Creek Road, Southern Lamington",Camping Ground,“”,Yes,Yes,No,OPEN: 24 hours,Activity-Types,Camping Ground
4,Sharp Park,Sharp Park,,Sharp Park,"Beechmont Road, Witheren",Camping Ground,“”,Yes,Yes,No,OPEN: 24 hours,Activity-Types,Camping Ground
5,Bigriggan Camping Reserve,Bigriggan Camping Reserve,,Bigriggan Camping Reserve,"Bigriggan Road, Rathdowney",Camping Ground,“”,No,No,No,OPEN: Daylight hours,Activity-Types,Camping Ground
6,Centenary Park,Centenary Park,,Centenary Park,"Mulgowie Road, Thornton",Camping Ground,“”,Yes,Yes,No,OPEN: 24 hours,Activity-Types,Camping Ground
7,Wuruma Dam,Wuruma Dam,,Wuruma Dam,"Wuruma Dam Recreation Area, Wuruma Dam",Camping Ground,“”,No,No,No,OPEN: 24 hours,Activity-Types,Camping Ground
8,Bluewater Park,Bluewater Park,,Bluewater Park,"Bruce Highway, Bluewater",Camping Ground,“”,Yes,Yes,Yes,OPEN: 24 hours,Activity-Types,Camping Ground
9,Toomulla Beach Campgrounds,Toomulla Beach Campgrounds,,Toomulla Beach Campgrounds,"The Esplanade, Toomulla",Camping Ground,“”,No,No,No,OPEN: 6am-6pm,Activity-Types,Camping Ground
10,Vincent Bushy Parker Park,Vincent Bushy Parker Park,,Vincent Bushy Parker Park,"Rollingstone Street, Rollingstone",Camping Ground,“”,Yes,Yes,Yes,OPEN: 24 hours,Activity-Types,Camping Ground
11,Balgal Beach South,Balgal Beach South,,Balgal Beach South,"Justin Street, Balgal Beach",Camping Ground,“”,Yes,No,Yes,OPEN: 24 hours,Activity-Types,Camping Ground
12,Calliope River Camping Grounds Southside,Calliope River Camping Grounds Southside,,Calliope River Camping Grounds Southside,"Bruce Highway, River Ranch",Camping Ground,“”,Yes,No,No,OPEN: 24 hours,Activity-Types,Camping Ground
13,Boynedale Rest Area,Boynedale Rest Area,,Boynedale Rest Area,"Gladstone - Monto Road, Boynedale",Camping Ground,“”,No,No,No,OPEN: 24 hours,Activity-Types,Camping Ground
14,Glebe Weir,Glebe Weir,,Glebe Weir,"2525 Glebe Weir Road, Ghinghinda",Camping Ground,“”,No,No,No,OPEN: 24 hours,Activity-Types,Camping Ground
15,Hull Heads Camping Grounds,Hull Heads Camping Grounds,,Hull Heads Camping Grounds,"Luff Street, Hull Heads",Camping Ground,“”,No,No,No,OPEN: 24 hours,Activity-Types,Camping Ground
16,Sharon Gorge,Sharon Gorge,,Sharon Gorge,"Bundaberg - Gin Gin Road, Sharon",Camping Ground,“”,Yes,No,No,OPEN: 24 hours,Activity-Types,Camping Ground
17,Anzac Park,Anzac Park,,Anzac Park,"33 Seib Street, Kilcoy",Camping Ground,“”,Yes,Yes,No,OPEN: 24 hours,Activity-Types,Camping Ground
18,Ball Bay Camp Ground,Ball Bay Camp Ground,,Ball Bay Camp Ground,"9 Ward Esplanade, Ball Bay",Camping Ground,“”,No,No,No,OPEN: 24 hours,Activity-Types,Camping Ground
19,St Helens Camp Ground,St Helens Camp Ground,,St Helens Camp Ground,"Murrays Road, St Helens Beach",Camping Ground,“”,Yes,No,No,OPEN: 24 hours,Activity-Types,Camping Ground
20,Seaforth Camping Ground,Seaforth Camping Ground,,Seaforth Camping Ground,"Palm Avenue, Seaforth",Camping Ground,“”,Yes,No,No,OPEN: 24 hours,Activity-Types,Camping Ground
21,Sapphire Camping Reserve,Sapphire Camping Reserve,,Sapphire Camping Reserve,"Drummond Road, The Gemfields",Camping Ground,“”,Yes,No,No,OPEN: 24 hours,Activity-Types,Camping Ground
22,Moura Rotary Park,Moura Rotary Park,,Moura Rotary Park,"160 Dawson Highway Moura, Moura",Camping Ground,“”,No,No,No,OPEN: 24 hours,Activity-Types,Camping Ground
23,Castle Rock Camping Area - Girraween National Park,Castle Rock Camping Area - Girraween National Park,,Castle Rock Camping Area - Girraween National Park,"Pyramids Road, Eukey",Camping Ground,“”,Yes,No,No,OPEN: 24 hours,Activity-Types,Camping Ground
24,Bald Rock Creek Camping Area - Girraween National Park,Bald Rock Creek Camping Area - Girraween National Park,,Bald Rock Creek Camping Area - Girraween National Park,"Pyramids Road, Eukey",Camping Ground,“”,No,No,No,OPEN: 24 hours,Activity-Types,Camping Ground
25,Platypus Creek - Lake Tinaroo,Platypus Creek - Lake Tinaroo,,Platypus Creek - Lake Tinaroo,"Danbulla Road, Tinaroo",Camping Ground,“”,Yes,No,No,OPEN: 24 hours,Activity-Types,Camping Ground
26,Kauri Creek - Lake Tinaroo,Kauri Creek - Lake Tinaroo,,Kauri Creek - Lake Tinaroo,"Danbulla Road, Tinaroo",Camping Ground,“”,Yes,No,No,OPEN: 24 hours,Activity-Types,Camping Ground
27,School Point - Lake Tinaroo,School Point - Lake Tinaroo,,School Point - Lake Tinaroo,"Danbulla Road, Tinaroo",Camping Ground,“”,Yes,No,No,OPEN: 24 hours,Activity-Types,Camping Ground
28,Fong-On Bay - Lake Tinaroo,Fong-On Bay - Lake Tinaroo,,Fong-On Bay - Lake Tinaroo,"Access Road, Tinaroo",Camping Ground,“”,Yes,No,No,OPEN: 24 hours,Activity-Types,Camping Ground
29,Clancy's Campground,Clancy's Campground,,Clancy's Campground,"Benarkin State Forest, Cherry Creek",Camping Ground,“”,No,No,No,OPEN: 24 hours,Activity-Types,Camping Ground
30,Camp Mountain Lookout,Camp Mountain Lookout,,Camp Mountain Lookout,"Off Mount Nebo Road, Camp Mountain",Camping Ground,“”,Yes,No,No,OPEN: 24 hours,Activity-Types,Camping Ground
31,Jowarra Park,Jowarra Park,,Jowarra Park,"2859 Steve Irwin Way, Glenview",Camping Ground,“”,No,No,No,OPEN: Variable hours,Activity-Types,Camping Ground
32,Six Mile Creek,Six Mile Creek,,Six Mile Creek,"612 Bruce Highway, Glanmire",Camping Ground,“”,No,No,No,OPEN: Variable hours,Activity-Types,Camping Ground
