,Name,Location,Suburb,Activity Type,Opening Hours,Latitude,Longitude,On-Premise Disability Parking,On-Premise Parking,Disability Accessible,Ambulant Toilet
0,Noosa Fair Shopping Centre,"3 Lanyana Way, Noosa Heads",Noosa Heads,Shopping Centre,OPEN: 24 hours,-26.39807152,153.0898557,Yes,Yes,No,No
1,Queen Street,"Queen Street, Ayr",Ayr,Shopping Centre,OPEN: 6am-10pm,-19.57494972,147.4060353,Yes,Yes,Yes,No
2,Archibald Street,"Archibald Street, Dalby",Dalby,Shopping Centre,OPEN: 6am-7pm,-27.1819255,151.2638045,Yes,Yes,Yes,No
3,Maple Street,"Maple Street, Maleny",Maleny,Shopping Centre,OPEN: Daylight hours,-26.75883612,152.8516196,No,Yes,Yes,No
4,Centre Point,"Centre Point Arcade, Mackay",Mackay,Shopping Centre,"OPEN: Mon-Fri 8:30am-5:30pm, Sat 8:30am-12pm",-21.14169611,149.1850599,Yes,Yes,No,No
5,Vernon Street,"Vernon Street, Atherton",Atherton,Shopping Centre,OPEN: 24 hours,-17.26591699,145.4752876,No,No,Yes,No
6,Melton Park,"72 Grevillea Street, Biloela",Biloela,Shopping Centre,OPEN: 24 hours,-24.399629,150.5133541,No,Yes,Yes,No
7,Kariboe Street,"Kariboe Street, Biloela",Biloela,Shopping Centre,OPEN: 24 hours,-24.40062525,150.5124004,Yes,Yes,Yes,No
8,BiCentenial Park,"Callide Street, Biloela",Biloela,Shopping Centre,OPEN: 24 hours,-24.40205344,150.5112149,Yes,Yes,Yes,No
9,Baralaba Community Hall,"24 Stopford Street, Baralaba",Baralaba,Shopping Centre,OPEN: 24 hours,-24.18195386,149.8112847,No,Yes,Yes,No
10,Acacia Marketplace Shopping Centre,"1150 Beaudesert Road, Acacia Ridge",Acacia Ridge,Shopping Centre,"OPEN: Mon-Fri 8am-9pm, Sat 8am-5pm, Sun 8am-6pm",-27.57587678,153.0259873,No,Yes,No,No
11,Centro Albany,"700 Albany Creek Road, Albany Creek",Albany Creek,Shopping Centre,"OPEN: Mon-Wed,Fri 9am-5:30pm, Thu 9am-9pm, Sat 9am-5pm",-27.34612578,152.9688616,Yes,Yes,Yes,No
12,Alexandra Hills Shopping Centre,"Corner of Cambridge Drive & Finucane Road, Alexandra Hills",Alexandra Hills,Shopping Centre,"OPEN: Mon-Wed,Fri 9am-5:30pm, Sat 9am-4pm, Sun 10am-4pm, Thu 9am-9pm",-27.52320965,153.220765,Yes,Yes,Yes,No
13,Allenstown Square,"Corner of Canning & Derby Street, Rockhampton",Rockhampton,Shopping Centre,"OPEN: Mon-Wed 9am-5:30pm, Sat 9am-2pm, Sun 10am-4pm, Thu-Fri 9am-7pm",-23.38940264,150.5036545,Yes,Yes,Yes,No
14,Arana Hills Kmart Plaza,"Corner Dawson Parade & Patricks Road, Arana Hills",Arana Hills,Shopping Centre,"OPEN: Mon-Fri 8am-9pm, Sat 8am-5pm, Sun 8am-6pm",-27.39745414,152.9589018,Yes,Yes,Yes,No
15,Australia Fair,"Marine Parade, Southport",Southport,Shopping Centre,"OPEN: Mon-Wed,Fri-Sat 9am-5:30pm, Thu 9am-9pm, Sun 10:30am-4pm",-27.96761798,153.4166371,Yes,Yes,Yes,No
16,Bay Plaza,"Torquay Terrace, Hervey Bay",Hervey Bay,Shopping Centre,"OPEN: Mon-Thu 9am-5:30pm, Sun 10am-4pm, Fri 9am-5pm, Sat 9am-4pm",-25.28860605,152.8734184,Yes,Yes,Yes,No
17,Bay Village On Hastings,"18 Hastings Street, Noosa Heads",Noosa Heads,Shopping Centre,OPEN: 8am-8pm,-26.386392,153.088972,Yes,Yes,Yes,No
18,Beenleigh Marketplace,"George Street, Beenleigh",Beenleigh,Shopping Centre,"OPEN: Mon-Wed,Fri 9am-5:30am, Sat 9am-4pm, Sun 10:30am-4pm, Thu 9am-9pm",-27.7174881,153.206498,Yes,Yes,Yes,No
19,Birkdale Fair,"Corner Birkdale & Mary Pleasants Drive, Birkdale",Birkdale,Shopping Centre,"OPEN: Mon-Fri 8am-9pm, Sat 8am-5pm, Sun 9am-6pm",-27.49166513,153.2185245,Yes,No,Yes,No
