Name,Location,Suburb,Activity Type,Opening Hours,Latitude,Longitude,On-Premise Disability Parking,On-Premise Parking,Disability Accessible,Ambulant Toilet
Camp Area,"Bingil Bay Road, Bingil Bay",Bingil Bay,Camping Ground,OPEN: 24 hours,-17.82990204,146.0997934,No,No,No,No
Yarramalong Weir,"Yarramalong Road, Pampas",Pampas,Camping Ground,OPEN: 24 hours,-27.83547419,151.4501383,No,No,No,No
Darlington Park,"Kerry Road, Darlington",Darlington,Camping Ground,OPEN: Daylight hours,-28.18623186,153.0413241,Yes,Yes,Yes,No
Stinson Park,"Christmas Creek Road, Southern Lamington",Southern Lamington,Camping Ground,OPEN: 24 hours,-28.28729982,153.0360018,Yes,Yes,Yes,No
Sharp Park,"Beechmont Road, Witheren",Witheren,Camping Ground,OPEN: 24 hours,-28.04900123,153.1890703,Yes,Yes,Yes,No
Bigriggan Camping Reserve,"Bigriggan Road, Rathdowney",Rathdowney,Camping Ground,OPEN: Daylight hours,-28.1985516,152.7777735,No,No,No,No
Centenary Park,"Mulgowie Road, Thornton",Thornton,Camping Ground,OPEN: 24 hours,-27.79803861,152.3738276,Yes,Yes,Yes,No
Wuruma Dam,"Wuruma Dam Recreation Area, Wuruma Dam",Wuruma Dam,Camping Ground,OPEN: 24 hours,-25.22699168,151.0534308,No,No,No,No
Bluewater Park,"Bruce Highway, Bluewater",Bluewater,Camping Ground,OPEN: 24 hours,-19.17724117,146.5508631,Yes,Yes,Yes,Yes
Toomulla Beach Campgrounds,"The Esplanade, Toomulla",Toomulla,Camping Ground,OPEN: 6am-6pm,-19.08218531,146.4778563,No,No,No,No
Vincent Bushy Parker Park,"Rollingstone Street, Rollingstone",Rollingstone,Camping Ground,OPEN: 24 hours,-19.04531563,146.3940839,Yes,Yes,Yes,Yes
Balgal Beach South,"Justin Street, Balgal Beach",Balgal Beach,Camping Ground,OPEN: 24 hours,-19.02752966,146.4166791,No,Yes,Yes,Yes
Calliope River Camping Grounds Southside,"Bruce Highway, River Ranch",River Ranch,Camping Ground,OPEN: 24 hours,-23.95956379,151.1535948,No,No,Yes,No
Boynedale Rest Area,"Gladstone - Monto Road, Boynedale",Boynedale,Camping Ground,OPEN: 24 hours,-24.13757,151.19542,No,No,No,No
Glebe Weir,"2525 Glebe Weir Road, Ghinghinda",Ghinghinda,Camping Ground,OPEN: 24 hours,-25.46357033,150.0338078,No,Yes,No,No
Hull Heads Camping Grounds,"Luff Street, Hull Heads",Hull Heads,Camping Ground,OPEN: 24 hours,-17.99466565,146.0712655,No,No,No,No
Sharon Gorge,"Bundaberg - Gin Gin Road, Sharon",Sharon,Camping Ground,OPEN: 24 hours,-24.88373344,152.2429706,No,No,Yes,No
Anzac Park,"33 Seib Street, Kilcoy",Kilcoy,Camping Ground,OPEN: 24 hours,-26.94250215,152.5679096,Yes,Yes,Yes,No
Ball Bay Camp Ground,"9 Ward Esplanade, Ball Bay",Ball Bay,Camping Ground,OPEN: 24 hours,-20.90275269,148.9953861,No,Yes,No,No
St Helens Camp Ground,"Murrays Road, St Helens Beach",St Helens Beach,Camping Ground,OPEN: 24 hours,-20.84148031,148.8436165,No,No,Yes,No
Seaforth Camping Ground,"Palm Avenue, Seaforth",Seaforth,Camping Ground,OPEN: 24 hours,-20.89897219,148.9661498,No,Yes,Yes,No
Sapphire Camping Reserve,"Drummond Road, The Gemfields",The Gemfields,Camping Ground,OPEN: 24 hours,-23.46461763,147.7203506,No,No,Yes,No
Moura Rotary Park,"160 Dawson Highway Moura, Moura",Moura,Camping Ground,OPEN: 24 hours,-24.56512725,149.9775929,No,Yes,No,No
Castle Rock Camping Area - Girraween National Park,"Pyramids Road, Eukey",Eukey,Camping Ground,OPEN: 24 hours,-28.83687643,151.9385623,No,No,Yes,No
Bald Rock Creek Camping Area - Girraween National Park,"Pyramids Road, Eukey",Eukey,Camping Ground,OPEN: 24 hours,-28.83316977,151.9327997,No,No,No,No
Platypus Creek - Lake Tinaroo,"Danbulla Road, Tinaroo",Tinaroo,Camping Ground,OPEN: 24 hours,-17.16063611,145.5599667,No,No,Yes,No
Kauri Creek - Lake Tinaroo,"Danbulla Road, Tinaroo",Tinaroo,Camping Ground,OPEN: 24 hours,-17.1383,145.5978639,No,No,Yes,No
School Point - Lake Tinaroo,"Danbulla Road, Tinaroo",Tinaroo,Camping Ground,OPEN: 24 hours,-17.14818056,145.6108,No,No,Yes,No
Fong-On Bay - Lake Tinaroo,"Access Road, Tinaroo",Tinaroo,Camping Ground,OPEN: 24 hours,-17.15759444,145.5830472,No,No,Yes,No
Clancy's Campground,"Benarkin State Forest, Cherry Creek",Cherry Creek,Camping Ground,OPEN: 24 hours,-26.97210571,152.1647741,No,No,No,No
Camp Mountain Lookout,"Off Mount Nebo Road, Camp Mountain",Camp Mountain,Camping Ground,OPEN: 24 hours,-27.41065207,152.8797812,No,No,Yes,No
Jowarra Park,"2859 Steve Irwin Way, Glenview",Glenview,Camping Ground,OPEN: Variable hours,-26.77353006,153.0378914,No,Yes,No,No
Six Mile Creek,"612 Bruce Highway, Glanmire",Glanmire,Camping Ground,OPEN: Variable hours,-26.23189833,152.697088,No,Yes,No,No
Gunalda,"Bruce Highway, Gunalda",Gunalda,Camping Ground,OPEN: Variable hours,-25.98646333,152.5712107,Yes,Yes,Yes,No
Gin Gin Creek,"34593 Bruce Highway, Gin Gin",Gin Gin,Camping Ground,OPEN: Variable hours,-24.97445773,151.9464055,No,Yes,No,No
Frances Creek,"Bruce Highway, Helens Hill",Helens Hill,Camping Ground,OPEN: Variable hours,-18.74792593,146.1368644,No,Yes,No,No
Bilyana,"Bruce Highway, Bilyana",Bilyana,Camping Ground,OPEN: Variable hours,-18.11879114,145.912227,No,Yes,No,No
Campaspe River,"Flinders Highway, Pentland",Pentland,Camping Ground,OPEN: Variable hours,-20.44130846,145.5332495,No,Yes,No,No
Coolabunia,"2-24 Gipps Street, Coolabunia",Coolabunia,Camping Ground,OPEN: Variable hours,-26.58933173,151.9030536,No,Yes,No,No
Ban Ban Springs,"13384 Burnett Highway, Ban Ban Springs",Ban Ban Springs,Camping Ground,OPEN: Variable hours,-25.68236202,151.8163511,No,Yes,No,No
Binjour Range,"Swains Road, Reids Creek",Reids Creek,Camping Ground,OPEN: Variable hours,-25.5337089,151.4994171,No,Yes,No,No
